0,785734579281862656
22,785813270070525952,12:04:39.504927
27,785813525381914624,12:05:41.416585
23,785813784548040704,12:06:43.422979
19,785814021656154112,12:07:45.439298
14,785814308680761344,12:08:48.040867
31,785814571646869504,12:09:50.075671
50,785815510416035840,12:13:33.058502
31,785815762833403904,12:14:35.045120
50,785815762833403904,12:14:52.972149
22,785816088344952832,12:15:55.428966
22,785816361591148544,12:16:57.325606
31,785816626490970112,12:17:59.674875
32,785816874873389056,12:19:01.781090
27,785817125004902400,12:20:04.231014
22,785817411434020864,12:21:06.293022
27,785817661619970048,12:22:08.417033
21,785817920467329025,12:23:10.695160
23,785818182741204992,12:24:12.795813
27,785818450409185280,12:25:14.851617
18,785818698690990080,12:26:17.232078
24,785818943638372352,12:27:19.112898
31,785819228070932480,12:28:21.141812
21,785819472481386496,12:29:23.301979
30,785819731265777664,12:30:25.188404
15,785819966046035968,12:31:28.727092
22,785820249581125632,12:32:30.730779
24,785820540405678080,12:33:32.647221
19,785820780202516480,12:34:34.498259
20,785821054711181312,12:35:36.622790
16,785821318130401280,12:36:38.748238
26,785821574729465856,12:37:40.955168
23,785821840526741504,12:38:43.182338
25,785822097855680516,12:39:45.087879
19,785822365502545922,12:40:47.044123
14,785822623959744512,12:41:49.507244
16,785822824971825152,12:42:51.380763
21,785823142778396672,12:43:53.253887
13,785823389852110848,12:44:57.533769
16,785823673492000769,12:45:59.588418
14,785823924894531585,12:47:05.289141
17,785824182303019009,12:48:07.158111
17,785824462323220482,12:49:09.103815
17,785824693718745089,12:50:11.641630
15,785824984702656512,12:51:13.514888
15,785825248327311361,12:52:15.468922
19,785825500304408576,12:53:17.430486
13,785825760544231424,12:54:19.530745
16,785826030816722945,12:55:21.455422
12,785826274606477312,12:56:23.331719
50,785828090907922438,13:03:34.956637
14,785828337054732288,13:04:37.381373
12,785828604819243008,13:05:39.305505
9,785828822478356480,13:06:41.130007
15,785829126754164736,13:07:43.052866
12,785829387870605312,13:08:45.067852
16,785829665931800577,13:09:50.761082
14,785829913240698880,13:10:52.961352
17,785830160234721280,13:11:55.784335
12,785830455090089984,13:12:58.006466
18,785830712469516293,13:14:00.541713
18,785830952450854912,13:15:03.004337
22,785831240956018688,13:16:05.447333
20,785831495927795712,13:17:08.903794
17,785831768079396864,13:18:10.936849
16,785832033524350976,13:19:12.836925
22,785832286625333249,13:20:14.963739
13,785832532222865408,13:21:16.874653
13,785832791598661633,13:22:18.845313
12,785833071039934465,13:23:20.827333
15,785833329169932289,13:24:22.857143
16,785833596988907521,13:25:25.564612
15,785833841978146817,13:26:27.548036
13,785834115027337217,13:27:29.949516
14,785834367671205888,13:28:32.001260
21,785834627630063616,13:29:34.096354
17,785834867464503296,13:30:36.744989
12,785835149304922112,13:31:48.284813
50,785836715642646530,13:37:54.006376
20,785836993167101952,13:38:56.553138
10,785837234196979713,13:39:58.998836
12,785837518369480705,13:41:01.763587
14,785837752038395904,13:42:04.681654
21,785838046243618816,13:43:07.058623
19,785838300368175104,13:44:09.152722
12,785838568900091904,13:45:12.098216
20,785838832004501504,13:46:14.292398
20,785839079552352256,13:47:16.441194
26,785839353343934464,13:48:18.639993
20,785839609179729920,13:49:20.944900
14,785839881742348288,13:50:23.194516
11,785840128451371008,13:51:25.551830
16,785840389102206976,13:52:27.730562
10,785840646741426176,13:53:29.859721
13,785840924467269632,13:54:31.980615
15,785841183021039616,13:55:34.168379
13,785841412835315713,13:56:36.820788
14,785841700413530113,13:57:39.430363
19,785841971176808448,13:58:41.488021
23,785842229906735104,13:59:43.718255
33,785842483422982146,14:00:49.511213
16,785842758787432449,14:01:55.155466
